,Proj. Type,Organization Name,Project Name,City,SPA,CD,SD,Geo Code,HMIS Participating,Inventory Type,Bed Type,Target Pop.,Beds HH w/ Children,Units HH w/ Children,Beds HH w/o Children,Beds HH w/ only Children,Veteran Beds HH w/ Children,Youth Beds HH w/ Children,CH Beds HH w/ Children,Veteran Beds HH w/o Children,Youth Beds HH w/o Children,CH Beds HH w/o Children,CH Beds HH w/ only Children,Victim Service Provider,Additional Federal Funding?,Housing Type,McKinney- Vento: Yhdp,Overflow Beds,PIT Count,Total Beds,Utilization Rate,funding_sources
0,Emergency Shelter,1736 Family Crisis Center,A Bridge Home CD 10,Los Angeles,4,10,2,62118,Yes,Current,Facility-based beds,,0,0,15,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,11,15,73.333,['Additional Federal Funding: Other']
1,Rapid Re-housing,1736 Family Crisis Center,SSVF RRH,Wilmington,8,15,4,62118,Yes,Current,,,0,0,4,0,0,0,0,4,0,0,0,No,Yes,Tenant-based - scattered site,No,0,4,4,100.0,['Additional Federal Funding: SSVF']
2,Permonent Supportive Housing,A Community of Friends,ACOF West Terrace DMH (D7),Los Angeles,6,8,2,62118,Yes,Current,,,0,0,34,0,0,0,0,0,0,0,0,No,Yes,Site-based - single site,No,0,31,34,91.176,['Additional Federal Funding: Other']
3,Permonent Supportive Housing,A Community of Friends,Amistad Apartments,Los Angeles,4,14,1,62118,Yes,Current,,,50,11,10,0,0,0,50,0,0,10,0,No,No,Site-based - single site,No,0,48,60,80.0,[]
4,Permonent Supportive Housing,A Community of Friends,CA004S Fox Normandie Apartments,Los Angeles,4,10,2,62118,Yes,Current,,,0,0,36,0,0,0,0,0,0,36,0,No,No,Site-based - single site,No,0,33,36,91.667,[]
5,Permonent Supportive Housing,A Community of Friends,CA0331 39 West Apartments - Supportive Services,Los Angeles ,6,8,2,62118,Yes,Current,,,0,0,33,0,0,0,0,0,0,33,0,No,No,Site-based - single site,No,0,32,33,96.97,"['McKinney- Vento', 'McKinney- Vento: CocPsh']"
6,Permonent Supportive Housing,A Community of Friends,CA0331 Parker Apartments - Supportive Services,Los Angeles,4,1,1,62118,Yes,Current,,,0,0,31,0,0,0,0,0,0,31,0,No,No,Site-based - single site,No,0,21,31,67.742,"['McKinney- Vento', 'McKinney- Vento: CocPsh']"
7,Permonent Supportive Housing,A Community of Friends,CA0335 Fox Normandie Apartments,Los Angeles,4,10,2,62118,Yes,Current,,,10,4,7,0,0,0,10,0,0,7,0,No,No,Site-based - single site,No,0,17,17,100.0,"['McKinney- Vento', 'McKinney- Vento: CocPsh']"
8,Permonent Supportive Housing,A Community of Friends,CA0347 California Hotel - Supportive Services,Los Angeles,8,15,4,62118,Yes,Current,,,0,0,39,0,0,0,0,0,0,39,0,No,Yes,Site-based - single site,No,0,33,39,84.615,"['Additional Federal Funding: Other', 'McKinney- Vento', 'McKinney- Vento: CocPsh']"
9,Permonent Supportive Housing,A Community of Friends,CA0347 Figueroa Apartments - Supportive Services,Los Angeles,6,8,2,62118,Yes,Current,,,0,0,39,0,0,0,0,0,0,39,0,No,Yes,Site-based - clustered / multiple sites,No,0,37,39,94.872,"['Additional Federal Funding: Other', 'McKinney- Vento', 'McKinney- Vento: CocPsh']"
